"","SOURCEID","pscs","X","Y","CLYPPT","CLYPPT.sd","SOURCEDB","DEPTH"
"2791","11CA729-001ewb",NA,6346544.68874638,3630886.23425447,20,2,"NCSS",152
"2792","11CA729-002ewb",NA,6362136.79654628,3630973.21648765,11,2,"NCSS",134
"2793","11CA729-003ewb",NA,6330866.63240476,3667111.88284692,6,2,"NCSS",152
"2794","12CA719001-EWB",NA,6314623.34230499,3764594.12666935,5,2,"NCSS",127
"2795","12CA719002-EWB",NA,6312036.19837719,3761871.29809919,5,2,"NCSS",112
"2796","12CA719003-EWB",NA,6308829.99897452,3734704.65014391,6,2,"NCSS",110
"2797","12CA729001-EWB",NA,6348591.34193899,3661827.85738057,28,2,"NCSS",114
"2798","12CA729002-EWB",NA,6338247.02842497,3623992.7837975,15,2,"NCSS",54
"2799","1969NV019003",NA,6385997.82193833,3725545.82692163,3,2,"NCSS",165
"2800","1969NV019004",NA,6387670.78250712,3725053.59184662,4,2,"NCSS",200
"2801","1969NV019005",NA,6378355.39591929,3674081.50515036,8,2,"NCSS",165
"2802","1969NV019007",NA,6370054.35356733,3726754.46706899,4,2,"NCSS",152
"2803","1977NV019001",NA,6399970.84190278,3723783.43508318,7,2,"NCSS",150
"2804","1977NV019002",NA,6399427.31998868,3725109.29622172,6,2,"NCSS",152
"2805","1977NV019007",NA,6399384.93606186,3721620.51276945,26,2,"NCSS",152
"2806","1977NV019009",NA,6394849.4768412,3691438.73512979,13,2,"NCSS",150
"2807","1977NV019010",NA,6381284.38952531,3684896.50818099,7,2,"NCSS",152
"2808","1999NV005004",NA,6336743.86821005,3714495.67961427,7,2,"NCSS",154
"2809","1999NV005019",NA,6337413.44127763,3720147.04489784,0,2,"NCSS",142
"2810","1999NV005020",NA,6334033.73758535,3704777.23098844,3,2,"NCSS",119
"2811","1999NV005021",NA,6336442.61912,3713415.88065126,15,2,"NCSS",148
"2812","1999NV005044",NA,6336743.86821005,3714495.67961427,5,2,"NCSS",201
"2813","1999NV005047",NA,6334033.73758535,3704777.23098844,2,2,"NCSS",58
"2814","1999NV005066",NA,6332529.18994854,3699377.84208117,2,2,"NCSS",53
"2815","1999NV005067",NA,6339758.05636979,3725293.27511389,3,2,"NCSS",74
"2816","1999NV031011",NA,6340802.99020394,3735514.79135358,0,2,"NCSS",15
"2817","1999NV031012",NA,6333287.4204996,3737789.66418631,3,2,"NCSS",43
"2818","1999NV031013",NA,6340802.99020394,3735514.79135358,2,2,"NCSS",46
"2819","1999NV031014",NA,6339758.05636979,3725293.27511389,7,2,"NCSS",84
"2820","1999NV031016",NA,6339507.85802727,3740590.09636294,3,2,"NCSS",84
"2821","1999NV031017",NA,6336627.35813377,3736777.48754666,1,2,"NCSS",41
"2822","1999NV031019",NA,6336627.35813377,3736777.48754666,0,2,"NCSS",27
"2823","1999NV031021",NA,6335260.40352593,3738362.75693734,4,2,"NCSS",58
"2824","2008NV019095",NA,6396790.20699658,3715376.23832149,9,2,"NCSS",216
"2825","2011NV005001",NA,6362051.61758793,3677707.71248231,11,2,"NCSS",30
"2826","2012NV031001",NA,6343681.11311958,3739329.07784843,1,2,"NCSS",152
"2827","300J",NA,6219712.61054123,3793431.71350787,18,2,"NCSS",74
"2828","300W",NA,6219854.60094563,3796925.70555986,16,2,"NCSS",25
"2829","301P",NA,6224315.33665196,3796658.17114946,16,2,"NCSS",76
"2830","303F",NA,6224220.68113286,3787251.59891245,16,2,"NCSS",114
"2831","68ca693-001",NA,6328567.95592816,3698230.93763723,3,2,"NCSS",66
"2832","68CA693-002",NA,6320405.66528312,3698357.43770963,4,2,"NCSS",120
"2833","68CA693-003",NA,6321178.97323705,3694609.72539207,6,2,"NCSS",200
"2834","68CA693-004",NA,6318893.7919304,3692959.51380623,2,2,"NCSS",205
